code	color	name	mainType	tissue	children	parent	level
PENIS	Blue	Penis	Penile Cancer	Penis	{}	TISSUE	1
ACYC	DarkRed	Adenoid Cystic Carcinoma	Salivary Gland Cancer	Head and Neck	{}	SACA	3
VPSCC	Blue	Verrucous Penile Squamous Cell Carcinoma	Penile Cancer	Penis	{}	PSCC	3
MCCHL	LimeGreen	Mixed Cellularity Classical Hodgkin Lymphoma	Hodgkin Lymphoma	Lymphoid	{}	CHL	5
CEEN	Teal	Cervical Endometrioid Carcinoma	Cervical Cancer	Cervix	{}	CEAD	3
CHS	White	Chondrosarcoma	Bone Cancer	Bone	{}	BONE	2
BLLTCF3PBX1	LimeGreen	B-Lymphoblastic Leukemia/Lymphoma with t(1;19)(q23;p13.3);TCF3-PBX1	B-Lymphoblastic Leukemia/Lymphoma	Lymphoid	{}	BLLRGA	5
BEC	Gray	Embryonal Carcinoma	Germ Cell Tumor	CNS/Brain	{}	BGCT	3
HGGNOS	Gray	High-Grade Glioma	Glioma	CNS/Brain	{}	DIFG	3
CPT	Gray	Choroid Plexus Tumor	Choroid Plexus Tumor	CNS/Brain	{}	BRAIN	2
HPHSC	DarkRed	Hypopharynx Squamous Cell Carcinoma	Head and Neck Cancer	Head and Neck	{}	HNSC	3
OAT	Teal	Oncocytic Adenoma of the Thyroid	Thyroid Cancer	Thyroid	{}	THYROID	2
LIHB	MediumSeaGreen	Hepatoblastoma	Hepatobiliary Cancer	Liver	{}	LIVER	2
MNGT	Gray	Meningothelial Tumor	CNS Cancer	CNS/Brain	{}	BRAIN	2
IMPTLD	LimeGreen	Infectious Mononucleosis PTLD	Posttransplant Lymphoproliferative Disorders	Lymphoid	{}	PTLD	4
CCBOV	LightBlue	Clear Cell Borderline Ovarian Tumor	Ovarian Cancer	Ovary/Fallopian Tube	{}	OVT	3
DIPG	Gray	Diffuse Intrinsic Pontine Glioma	Glioma	CNS/Brain	{}	DIFG	3
USMT	PeachPuff	Uterine Smooth Muscle Tumor	Uterine Sarcoma	Uterus	{}	USARC	3
PMFPES	LightSalmon	Primary Myelofibrosis	Myeloproliferative Neoplasms	Myeloid	{}	PMF	5
ULMS	PeachPuff	Uterine Leiomyosarcoma	Uterine Sarcoma	Uterus	{}	USMT	4
GRC	LightSkyBlue	Gastric Remnant Adenocarcinoma	Esophagogastric Cancer	Esophagus/Stomach	{}	EGC	3
OUSARC	PeachPuff	Uterine Sarcoma	Uterine Sarcoma	Uterus	{}	USARC	3
DLBCLCI	LimeGreen	DLBCL Associated with Chronic Inflammation	Mature B-Cell Neoplasms	Lymphoid	{}	MBN	5
CENE	Teal	Cervical Neuroendocrine Tumor	Cervical Cancer	Cervix	{}	CERVIX	2
LUCA	Gainsboro	Lung Carcinoid	Non-Small Cell Lung Cancer	Lung	{}	LNET	3
TEOS	White	Telangiectatic Osteosarcoma	Bone Cancer	Bone	{}	OS	3
MBEN	Gray	Medulloblastoma with Extensive Nodularity	Embryonal Tumor	CNS/Brain	{}	EMBT	3
THYM	Purple	Thymoma	Thymic Tumor	Thymus	{}	TET	3
ACLG	Green	Adenoid Cystic Carcinoma of the Lacrimal Gland	Lacrimal Gland Tumor	Eye	{}	LGT	3
THFO	Teal	Follicular Thyroid Cancer	Thyroid Cancer	Thyroid	{}	WDTC	3
EPDCA	LightSkyBlue	Esophageal Poorly Differentiated Carcinoma	Esophagogastric Cancer	Esophagus/Stomach	{}	STOMACH	2
ADMA	White	Adamantinoma	Bone Cancer	Bone	{}	BONE	2
PECOMA	LightYellow	Perivascular Epithelioid Cell Tumor	Soft Tissue Sarcoma	Soft Tissue	{}	SOFT_TISSUE	2
MDSEB1	LightSalmon	MDS with excess blasts-1	Myelodysplastic Syndromes	Myeloid	{}	MDSEB	5
UUS	PeachPuff	Undifferentiated Uterine Sarcoma	Uterine Sarcoma	Uterus	{}	USARC	3
BLLNOS	LimeGreen	B-Lymphoblastic Leukemia/Lymphoma	B-Lymphoblastic Leukemia/Lymphoma	Lymphoid	{}	BLL	4
ACCC	DarkRed	Acinic Cell Carcinoma	Salivary Gland Cancer	Head and Neck	{}	SACA	3
SKCN	Black	Congenital Nevus	Melanoma	Skin	{}	MEL	3
BLLKMT2A	LimeGreen	B-Lymphoblastic Leukemia/Lymphoma with t(v;11q23.3);KMT2A Rearranged	B-Lymphoblastic Leukemia/Lymphoma	Lymphoid	{}	BLLRGA	5
MMBC	HotPink	Mixed Type Metaplastic Breast Cancer	Breast Cancer	Breast	{}	MBC	3
GN	Gray	Ganglioneuroma	Peripheral Nervous System	Peripheral Nervous System	{}	PNS	2
SCGBM	Gray	Small Cell Glioblastoma	Glioma	CNS/Brain	{}	GB	4
PCAECTCL	LimeGreen	Primary Cutaneous CD8 Positive Aggressive Epidermotropic Cytotoxic T-Cell Lymphoma	Mature T and NK Neoplasms	Lymphoid	{}	MTNN	5
PGNT	Gray	Papillary Glioneuronal Tumor	Miscellaneous Neuroepithelial Tumor	CNS/Brain	{}	MNET	3
ESCC	LightSkyBlue	Esophageal Squamous Cell Carcinoma	Esophagogastric Cancer	Esophagus/Stomach	{}	STOMACH	2
SBMOV	LightBlue	Serous Borderline Ovarian Tumor	Ovarian Cancer	Ovary/Fallopian Tube	{}	OVT	3
IMMC	HotPink	Breast Invasive Mixed Mucinous Carcinoma	Breast Cancer	Breast	{}	BRCA	3
MS	LightSalmon	Myeloid Sarcoma	Leukemia	Myeloid	{}	AML	4
RAS	LightYellow	Radiation-Associated Sarcoma	Soft Tissue Sarcoma	Soft Tissue	{}	SOFT_TISSUE	2
SBWDNET	SaddleBrown	Small Bowel Well-Differentiated Neuroendocrine Tumor	Gastrointestinal Neuroendocrine Tumor	Bowel	{}	GINET	3
MF	LightYellow	Myofibroma	Soft Tissue Sarcoma	Soft Tissue	{}	SOFT_TISSUE	2
LIAS	MediumSeaGreen	Liver Angiosarcoma	Hepatobiliary Cancer	Liver	{}	LIVER	2
AMLNPM1	LightSalmon	AML with Mutated NPM1	Leukemia	Myeloid	{}	AMLRGA	5
UCCC	PeachPuff	Uterine Clear Cell Carcinoma	Endometrial Cancer	Uterus	{}	UCEC	3
AMLRUNX1RUNX1T1	LightSalmon	AML with t(8;21)(q22;q22.1);RUNX1-RUNX1T1	Leukemia	Myeloid	{}	AMLRGA	5
VYST	Purple	Yolk Sac Tumor	Germ Cell Tumor	Vulva/Vagina	{}	VGCT	3
HPCCNS	Gray	Hemangiopericytoma of the Central Nervous System	CNS Cancer	CNS/Brain	{}	MNGT	3
OUTT	PeachPuff	Other Uterine Tumor	Endometrial Cancer	Uterus	{}	UTERUS	2
IDCS	LightYellow	Interdigitating Dendritic Cell Sarcoma	Soft Tissue Sarcoma	Myeloid	{}	HDCN	4
LGNET	Gray	Low-Grade Neuroepithelial Tumor	Miscellaneous Brain Tumor	CNS/Brain	{}	MBT	3
PLEMESO	Blue	Pleural Mesothelioma	Mesothelioma	Pleura	{}	PLMESO	3
HCCIHCH	MediumSeaGreen	Hepatocellular Carcinoma plus Intrahepatic Cholangiocarcinoma	Hepatobiliary Cancer	Liver	{}	LIVER	2
BREAST	HotPink	Breast	Breast Cancer	Breast	{}	TISSUE	1
LIAD	MediumSeaGreen	Hepatocellular Adenoma	Hepatobiliary Cancer	Liver	{}	LIVER	2
MDSMPNRST	LightSalmon	MDS/MPN with Ring Sideroblasts and Thrombocytosis	Myelodysplastic/Myeloproliferative Neoplasms	Myeloid	{}	MDS/MPN	4
ETT	PeachPuff	Epithelioid Trophoblastic Tumor	Gestational Trophoblastic Disease	Uterus	{}	GTD	3
IMT	LightYellow	Inflammatory Myofibroblastic Tumor	Soft Tissue Sarcoma	Soft Tissue	{}	SOFT_TISSUE	2
PDC	Black	Poorly Differentiated Carcinoma	Cancer of Unknown Primary	Other	{}	CUP	3
AMLRUNX1	LightSalmon	AML with Mutated RUNX1	Leukemia	Myeloid	{}	AMLRGA	5
PV	LightSalmon	Polycythemia Vera	Myeloproliferative Neoplasms	Myeloid	{}	MPN	4
SBC	SaddleBrown	Small Bowel Cancer	Small Bowel Cancer	Bowel	{}	BOWEL	2
CAIS	SaddleBrown	Colon Adenocarcinoma In Situ	Colorectal Cancer	Bowel	{}	COADREAD	3
MXOV	LightBlue	Mixed Ovarian Carcinoma	Ovarian Cancer	Ovary/Fallopian Tube	{}	OVT	3
MUP	Black	Melanoma of Unknown Primary	Melanoma	Skin	{}	MEL	3
JSCB	HotPink	Juvenile Secretory Carcinoma of the Breast	Breast Cancer	Breast	{}	BREAST	2
UCU	Yellow	Urethral Urothelial Carcinoma	Bladder Cancer	Bladder/Urinary Tract	{}	UCA	3
HGNES	LightSkyBlue	High-Grade Neuroendocrine Carcinoma of the Stomach	Gastrointestinal Neuroendocrine Tumors of the Esophagus/Stomach	Esophagus/Stomach	{}	GINETES	3
ISM	LightSalmon	Indolent Systemic Mastocytosis	Mastocytosis	Myeloid	{}	SM	5
MATPL	LightSalmon	Myeloid Atypical	Blood Cancer	Myeloid	{}	MYELOID	2
MPNST	Gray	Malignant Peripheral Nerve Sheath Tumor	Nerve Sheath Tumor	Peripheral Nervous System	{}	NST	3
PTPR	Gray	Papillary Tumor of the Pineal Region	Pineal Tumor	CNS/Brain	{}	PINT	3
PCATCL	LimeGreen	Primary Cutaneous Acral CD8 Positive T-Cell Lymphoma	Mature T and NK Neoplasms	Lymphoid	{}	MTNN	5
PCFCL	LimeGreen	Primary Cutaneous Follicle Center Lymphoma	Mature B-Cell Neoplasms	Lymphoid	{}	MBN	5
DA	SaddleBrown	Duodenal Adenocarcinoma	Small Bowel Cancer	Bowel	{}	SBC	3
CMML1	LightSalmon	Chronic Myelomonocytic Leukemia-1	Myelodysplastic/Myeloproliferative Neoplasms	Myeloid	{}	CMML	5
ABL	LightSalmon	Acute Basophilic Leukemia	Leukemia	Myeloid	{}	AMLNOS	5
MYCHS	White	Myxoid Chondrosarcoma	Bone Cancer	Bone	{}	CHS	3
CCSK	Orange	Clear Cell Sarcoma of Kidney	Clear Cell Sarcoma of Kidney	Kidney	{}	KIDNEY	2
MCS	HotPink	Metaplastic Carcinosarcoma	Breast Cancer	Breast	{}	MMBC	4
PLBMESO	Blue	Pleural Mesothelioma	Mesothelioma	Pleura	{}	PLMESO	3
MYEC	DarkRed	Myoepithelial Carcinoma	Salivary Gland Cancer	Head and Neck	{}	SACA	3
ITPN	Purple	Intraductal Tubulopapillary Neoplasm	Pancreatic Cancer	Pancreas	{}	PACT	3
MIDD	LimeGreen	Monoclonal Immunoglobulin Deposition Diseases	Mature B-Cell Neoplasms	Lymphoid	{}	MBN	5
CEGCC	Teal	Glassy Cell Carcinoma of the Cervix	Cervical Cancer	Cervix	{}	CERVIX	2
CEMU	Teal	Mucinous Carcinoma	Cervical Cancer	Cervix	{}	CEAD	3
MPNU	LightSalmon	Myeloproliferative Neoplasms	Myeloproliferative Neoplasms	Myeloid	{}	MPN	4
EPMT	Gray	Ependymomal Tumor	CNS Cancer	CNS/Brain	{}	BRAIN	2
GCT	Gray	Granular Cell Tumor	Sellar Tumor	CNS/Brain	{}	SELT	3
PEOS	White	Periosteal Osteosarcoma	Bone Cancer	Bone	{}	OS	3
ACML	LightSalmon	Atypical Chronic Myeloid Leukemia	Myelodysplastic/Myeloproliferative Neoplasms	Myeloid	{}	MDS/MPN	4
SKAC	Black	Skin Adnexal Carcinoma	Skin Cancer	Skin	{}	SKIN	2
DCS	LightYellow	Dendritic Cell Sarcoma	Soft Tissue Sarcoma	Soft Tissue	{}	SOFT_TISSUE	2
CCE	Gray	Clear Cell Ependymoma	CNS Cancer	CNS/Brain	{}	EPMT	3
EMBC	HotPink	Epithelial Type Metaplastic Breast Cancer	Breast Cancer	Breast	{}	MBC	3
MDSRSMD	LightSalmon	MDS with Ring Sideroblasts and Multilineage Dysplasia	Myelodysplastic Syndromes	Myeloid	{}	MDSRS	5
BCC	Black	Basal Cell Carcinoma	Skin Cancer	Skin	{}	SKIN	2
ISFN	LimeGreen	In Situ Follicular Neoplasia	Mature B-Cell Neoplasms	Lymphoid	{}	FL	6
UPECOMA	PeachPuff	Uterine Perivascular Epithelioid Cell Tumor	Uterine Sarcoma	Uterus	{}	USARC	3
MPRDS	LightSalmon	Myeloid Proliferations Related to Down Syndrome	Leukemia	Myeloid	{}	AML	4
SCRMS	LightYellow	Spindle Cell Rhabdomyosarcoma	Soft Tissue Sarcoma	Soft Tissue	{}	RMS	3
MCN	Purple	Mucinous Cystic Neoplasm	Pancreatic Cancer	Pancreas	{}	PACT	3
AMBL	Gray	Large Cell/Anaplastic Medulloblastoma	Embryonal Tumor	CNS/Brain	{}	EMBT	3
CHGL	Gray	Chordoid Glioma of the Third Ventricle	Miscellaneous Neuroepithelial Tumor	CNS/Brain	{}	MNET	3
RCC	Orange	Renal Cell Carcinoma	Renal Cell Carcinoma	Kidney	{}	KIDNEY	2
MGUSIGM	LimeGreen	IgM	Mature B-Cell Neoplasms	Lymphoid	{}	MGUS	6
BRCANOS	HotPink	Breast Invasive Cancer	Breast Cancer	Breast	{}	BRCA	3
VULVA	Purple	Vulva/Vagina	Vulvar/Vaginal Cancer	Vulva/Vagina	{}	TISSUE	1
SSRCC	LightSkyBlue	Signet Ring Cell Carcinoma of the Stomach	Esophagogastric Cancer	Esophagus/Stomach	{}	USTAD	4
DASTR	Gray	Diffuse Astrocytoma	Glioma	CNS/Brain	{}	DIFG	3
MSTAD	LightSkyBlue	Mucinous Stomach Adenocarcinoma	Esophagogastric Cancer	Esophagus/Stomach	{}	STAD	4
ETPLL	LimeGreen	Early T-Cell Precursor Lymphoblastic Leukemia	T-Lymphoblastic Leukemia/Lymphoma	Lymphoid	{}	TLL	4
PTES	LightYellow	Proximal-Type Epithelioid Sarcoma	Soft Tissue Sarcoma	Soft Tissue	{}	EPIS	3
PPM	Gray	Papillary Meningioma	CNS Cancer	CNS/Brain	{}	MNGT	3
VSC	Purple	Squamous Cell Carcinoma of the Vulva/Vagina	Vaginal Cancer	Vulva/Vagina	{}	VULVA	2
OOVC	LightBlue	Ovarian Cancer	Ovarian Cancer	Ovary/Fallopian Tube	{}	OVARY	2
LCH	LightSalmon	Langerhans Cell Histiocytosis	Histiocytosis	Myeloid	{}	HDCN	4
PSEC	Green	Peritoneal Serous Carcinoma	Peritoneal Cancer	Peritoneum	{}	PERITONEUM	2
AM	LightSalmon	AML with Maturation	Leukemia	Myeloid	{}	AMLNOS	5
